SECTION,KEY,VALUE
SUMMARY,Generated Date,2026-06-26 10:51:29
SUMMARY,Total Logs,131
SUMMARY,Valid Records,131
SUMMARY,Corrupted,1
SUMMARY,Unique IPs,32
SUMMARY,Peak Hour,09:00
SUMMARY,Top Active IP,192.168.2.1 (87 reqs)
SUMMARY,Total Alerts,5
SUMMARY,Critical Alerts,2

ALERT_ID,ALERT_TYPE,SEVERITY,SOURCE_IP,DESCRIPTION,TIMESTAMP
2000,BRUTE_FORCE,HIGH,192.168.1.13,"IP 192.168.1.13 had 6 failed login attempts",2026-06-20 23:59:59
2001,BRUTE_FORCE,HIGH,192.168.4.4,"IP 192.168.4.4 had 5 failed login attempts",2026-06-20 23:59:59
3000,TRAFFIC_SPIKE,MEDIUM,N/A,"Hour 09:00 had 87 requests (avg=10)",09:00
4000,BLOCKED_IP_ACCESS,CRITICAL,10.0.0.99,"Blocked IP 10.0.0.99 attempted access",2026-06-20 08:04:00
4001,BLOCKED_IP_ACCESS,CRITICAL,172.16.0.50,"Blocked IP 172.16.0.50 attempted access",2026-06-20 08:06:00
